English,Español
shut,cerrar
able,capaz
die,morir
perfect,perfecto
police,policía
stand,pararse
comes,llega
hit,golpear
story,historia
ya,ya
mm,milímetros
waiting,espera
dinner,cena
against,contra
funny,divertido
husband,marido
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,Frío
eyes,ojos
news,noticias
child,niño
shouldn't,no debería
half,medio
side,lado
yours,tuyo
moment,momento
sleep,dormir
read,leer
where's,donde esta
started,comenzó
young,joven
men,hombres
sounds,sonidos
sonny,hijo
lucky,afortunado
pick,elegir
sometimes,a veces
em,ellos
bed,cama
also,también
date,fecha
line,línea
plan,plan
hours,horas
lose,perder
fire,fuego
free,gratis
hands,manos
serious,grave
leo,León
shit,mierda
behind,detrás
inside,adentro
high,alto
ahead,adelante
week,semana
wonderful,maravilloso
t,t
fight,luchar
past,pasado
cut,cortar
quite,bastante
number,número
he'll,infierno
sick,enfermo
s,s
it'll,lo hará
game,juego
eat,comer
nobody,nadie
goes,va
death,muerte
along,a lo largo de
save,ahorrar
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,decepcionado
Theresa,teresa
Carly,carly
Ethan,Ethan
met,conoció
book,libro
brought,trajo
seem,parecer
sort,clasificar
safe,seguro
living,viviendo
children,niños
weren't,no lo eran
leaving,partida
front,frente
shot,disparo
loved,amado
asking,preguntando
running,correr
clear,claro
figure,cifra
hot,caliente
felt,sintió
six,seis
parents,padres
drink,beber
absolutely,absolutamente
how's,¿Cómo está?
daddy,papá
sweet,dulce
alive,vivo
Paul,Pablo
sense,sentido
meant,quiso decir
happens,sucede
David,David
special,especial
bet,apuesta
blood,sangre
ain't,no es
kidding,bromear
lie,mentir
full,lleno
meeting,reunión
dear,estimado
coffee,café
seeing,vidente
sound,sonido
fault,falla
water,agua
fuck,Mierda
ten,diez
women,mujer
John,John
welcome,bienvenido
buy,comprar
months,meses
hour,hora
speak,hablar
lady,dama
Jen,Jen
thinks,piensa
Christmas,Navidad
body,cuerpo
order,orden
outside,afuera
hang,colgar
possible,posible
worse,peor
company,compañía
mistake,error
ooh,Oh
handle,manejar
spend,gastar
c,do
totally,totalmente
giving,donación
control,control
here's,aquí está
marriage,casamiento
realize,darse cuenta
d,d
power,fuerza
president,presidente
unless,a menos que
sex,sexo
girls,chicas
send,enviar
needed,necesario
o,oh
taken,tomado
died,fallecido
scared,asustado
picture,imagen
talked,habló
Jake,jake
al,Alabama
ass,culo
hundred,centenar
changed,cambió
completely,completamente
explain,explicar
playing,jugando
certainly,ciertamente
sign,firmar
boys,chicos
relationship,relación
Michael,Miguel
loves,ama
fucking,maldito
hair,cabello
lying,mintiendo
choice,elección
anywhere,en cualquier lugar
secret,secreto
future,futuro
weird,extraño
luck,suerte
she'll,caparazón
Max,máx.
Luis,luis
turned,transformado
known,conocido
touch,tocar
kiss,beso
crane,grúa
questions,preguntas
obviously,obviamente
wonder,preguntarse
pain,dolor
calling,vocación
somewhere,en algún lugar
throw,tirar
straight,derecho
grace,gracia
cold,frío
white,blanco
fast,rápido
Natalie,natalia
words,palabras
r,r
food,alimento
none,ninguno
drive,conducir
feelings,sentimientos
they'll,ellos
worked,trabajó
marry,casarse
light,luz
test,prueba
drop,gota
cannot,no puedo
frank,franco
sent,enviado
city,ciudad
dream,sueño
protect,proteger
twenty,veinte
class,clase
Lucy,lucía
surprise,sorpresa
its,es
sweetheart,cariño
forever,para siempre
poor,pobre
looked,miró
mad,enojado
except,excepto
gun,pistola
y'know,ya sabes
dance,bailar
takes,acepta
appreciate,agradecer
especially,especialmente
situation,situación
besides,además
weeks,semanas
pull,jalar
himself,sí mismo
hasn't,no lo ha hecho
act,acto
worth,valer
Sheridan,Sheridan
amazing,asombroso
top,arriba
given,dado
expect,esperar
ben,ben
rather,bastante
Julian,juliano
involved,involucrado
swear,jurar
piece,pedazo
busy,ocupado
law,ley
decided,decidido
black,negro
Joey,Joey
happening,acontecimiento
movie,película
we'd,casarse
catch,atrapar
Antonio,Antonio
country,país
less,menos
perhaps,tal vez
step,paso
fall,caer
watching,mirando
kept,conservó
darling,querida
dog,perro
ms,EM
win,ganar
air,aire
honor,honor
personal,personal
moving,emocionante
till,hasta
admit,admitir
problems,problemas
murder,asesinato
strong,fuerte
he'd,él
evil,demonio
definitely,definitivamente
feels,se siente
information,información
honest,honesto
eye,ojo
broke,en bancarrota
missed,omitido
longer,más extenso
dollars,dolares
tired,cansado
Jason,jason
George,jorge
evening,noche
human,humano
starting,a partir de
Ross,ross
red,rojo
entire,completo
trip,viaje
Brooke,Brooke
e,mi
club,club
Niles,niles
suppose,suponer
calm,calma
imagine,imaginar
Todd,todd
fair,justo
caught,atrapó
b,b
blame,culpa
street,calle
sitting,sesión
favor,favor
apartment,departamento
court,corte
terrible,horrible
clean,limpio
Tony,tony
learn,aprender
Alison,alison
Rick,Almiar
works,obras
Rose,Rosa
Frasier,frasier
relax,relajarse
York,york
million,millón
charity,caridad
accident,accidente
wake,despertar
prove,probar
Danny,danny
smart,elegante
message,mensaje
missing,desaparecido
forgot,olvidó
small,pequeño
interested,interesado
table,mesa
nbsp,nbsp
become,convertirse
Craig,Craig
mouth,boca
pregnant,embarazada
middle,medio
Billy,Porra
ring,anillo
careful,cuidadoso
shall,deber
dude,dudar
team,equipo
ride,conducir
figured,figurado
wear,tener puesto
shoot,disparar
stick,palo
ray,rayo
follow,seguir
bo,bo
angry,enojado
instead,en cambio
buddy,compañero
write,escribir
stopped,interrumpido
early,temprano
angel,ángel
nick,mella
ran,corrió
war,guerra
standing,de pie
forgive,perdonar
jail,celda
wearing,agotador
Miguel,miguel
ladies,señoras
kinda,un poco
lunch,almuerzo
Cristian,cristian
eight,ocho
Greenlee,verdelee
gotten,conseguido
hoping,esperante
Phoebe,Phoebe
thousand,mil
ridge,cresta
music,música
Luke,lucas
paper,papel
tough,difícil
tape,cinta
Emily,emily
state,estado
count,contar
college,colega
boyfriend,novio
proud,orgulloso
agree,aceptar
birthday,cumpleaños
bill,factura
seven,Siete
they've,ellos tienen
Timmy,timmy
history,historia
share,compartir
offer,oferta
hurry,apurarse
ow,Ay
feet,pies
wondering,preguntarse
simple,simple
decision,decisión
building,edificio
ones,unos
finish,finalizar
voice,voz
herself,sí misma
Chris,cris
would've,habría
list,lista
Kay,kay
mess,desorden
deserve,merecer
evidence,evidencia
cute,lindo
Jerry,alemán
dress,vestido
Richard,ricardo
interesting,interesante
Jesus,Jesús
James,Jaime
hotel,hotel
enjoy,disfrutar
Ryan,ryan
Lindsay,lindsay
quiet,tranquilo
concerned,preocupado
road,camino
Eve,Víspera
staying,quedarse
short,corto
m,metro
beat,derrotar
sweetie,cariño
mention,mencionar
clothes,ropa
finished,finalizado
fell,cayó
neither,ni
mmm,mmm
fix,arreglar
Victor,Vencedor
respect,respeto
spent,gastado
prison,prisión
attention,atención
holding,tenencia
calls,llamadas
near,cerca
surprised,sorprendido
bar,bar
beth,beth
pass,aprobar
keeping,acuerdo
gift,regalo
hadn't,no lo había hecho
putting,puesta
dark,oscuro
self,ser
owe,deber
using,usando
Nora,nora
ice,hielo
helping,ración
bitch,perra
normal,normal
aunt,tía
lawyer,abogado
apart,aparte
certain,cierto
plans,planes
Jax,jax
girlfriend,novia
floor,piso
whether,si
everything's,todo es
present,presente
earth,tierra
private,privado
Jessica,Jéssica
box,caja
Dawson,dawson
cover,cubrir
judge,juez
upstairs,piso superior
Alexis,alexis
Shawn,Shawn
sake,beneficio
mommy,mami
possibly,probablemente
worst,el peor
station,estación
acting,interino
accept,aceptar
blow,explotar
strange,extraño
saved,salvado
Ivy,Hiedra
conversation,conversación
plane,avión
mama,mamá
yesterday,ayer
lied,mintió
quick,rápido
lately,últimamente
stuck,atascado
lovely,hermoso
security,seguridad
report,informe
Barbara,Bárbara
difference,diferencia
rid,deshacerse
tv,televisor
Adam,Adán
store,almacenar
she'd,cobertizo
bag,bolsa
Mike,Micro
bought,compró
ball,pelota
single,soltero
Kevin,kevin
doubt,duda
listening,escuchando
major,importante
walking,caminando
cops,policías
blue,azul
deep,profundo
dangerous,peligroso
buffy,buffy
park,parque
sleeping,durmiendo
Chloe,cloe
Rafe,rafe
shh,shh
record,registro
lord,caballero
Erica,erica
moved,emocionado
join,unirse
key,llave
captain,capitán
card,tarjeta
crime,delito
gentlemen,caballeros
willing,deseoso
window,ventana
return,devolver
walked,caminó
guilty,culpable
Brenda,brenda
likes,gustos
fighting,lucha
difficult,difícil
soul,alma
joke,broma
service,servicio
magic,magia
favorite,favorito
uncle,tío
promised,prometido
public,público
bother,molestar
island,isla
Jim,Jim
seriously,en serio
cell,celúla
lead,dirigir
knowing,conocimiento
broken,roto
advice,consejo
somehow,de alguna manera
paid,pagado
Blair,Blair
losing,vencido
push,empujar
helped,ayudó
killing,asesinato
usually,generalmente
earlier,más temprano
boss,jefe
Laura,laura
beginning,comienzo
liked,apreciado
innocent,inocente
doc,doc
rules,normas
Elizabeth,Isabel
Sabrina,Sabrina
summer,verano
ex,ex
cop,policía
learned,aprendió
thirty,treinta
risk,riesgo
letting,dejando
Phillip,Felipe
speaking,discurso
officer,oficial
ridiculous,ridículo
support,apoyo
afternoon,tarde
Eric,eric
born,nacido
dreams,sueños
apologize,disculparse
seat,asiento
nervous,nervioso
across,al otro lado de
song,canción
Olivia,Olivia
charge,cargar
patient,paciente
Cassie,cassie
boat,bote
how'd,¿Cómo estuvo?
brain,cerebro
hide,esconder
detective,detective
Aaron,Aarón
Kendall,Kendall
general,general
Tom,Tomás
planning,planificación
nine,nueve
huge,enorme
breakfast,desayuno
horrible,horrible
age,edad
awful,horrible
pleasure,placer
driving,conduciendo
hanging,colgante
picked,escogido
system,sistema
sell,vender
quit,abandonar
apparently,aparentemente
dying,muriendo
notice,aviso
Josh,josh
congratulations,Felicidades
chief,jefe
faith,fe
Simon,Simón
gay,homosexuales
ho,hola
one's,unos
month,mes
visit,visita
Hal,Hal
could've,podría haber
c'mon,vamos
aw,ay
Edmund,Edmundo
Brady,Brady
letter,carta
decide,decidir
American,Americano
double,doble
Troy,Troya
sad,triste
press,prensa
forward,adelante
fool,tonto
showed,presentado
smell,oler
seemed,pareció
Mary,María
spell,deletrear
Courtney,Courtney
memory,memoria
mark,marca
Alan,alan
pictures,fotos
Paris,París
slow,lento
Joe,José
Tim,Timo
seconds,artículos de segunda clase
hungry,hambriento
board,junta
position,posición
hearing,audiencia
roz,rosa
kitchen,cocina
ma'am,señora
Bob,Chelín
force,fuerza
fly,volar
during,durante
space,espacio
should've,debería haber
realized,comprendió
experience,experiencia
kick,patada
others,otros
grab,agarrar
mother's,de la madre
p,pag
Sharon,sharón
discuss,conversar
third,tercero
cat,gato
fifty,cincuenta
responsible,responsable
Jennifer,jennifer
Philip,Felipe
miles,millas
fat,gordo
reading,lectura
idiot,estúpido
yep,sí
rock,roca
rich,rico
suddenly,de repente
agent,agente
bunch,racimo
destroy,destruir
bucks,dólares
track,pista
shoes,zapatos
scene,escena
peace,paz
arms,brazos
demon,demonio
Diane,diane
Bridget,brígida
Brad,Puntilla
low,bajo
Livvie,livvie
consider,considerar
papers,papeles
medical,médico
incredible,increíble
witch,bruja
er,ejem
drunk,ebrio
attorney,abogado
Charlie,charlie
tells,dice
knock,golpear
Karen,karen
ways,maneras
eh,eh
belle,beldad
cash,dinero
gives,da
department,departamento
nose,nariz
Skye,cielo
turns,vueltas
keeps,mantiene
beer,cerveza
jealous,celoso
drug,droga
Molly,muchacha
sooner,antes
cares,le importa
plenty,infinidad
extra,extra
tea,té
won,ganado
attack,ataque
ground,suelo
whose,cuyo
outta,fuera
Kyle,kyle
l,yo
weekend,fin de semana
matters,asuntos
wrote,escribió
type,tipo
father's,del padre
Alex,Alex
gosh,Dios mío
opportunity,oportunidad
king,rey
impossible,imposible
books,libros
machine,máquina
waste,desperdiciar
th,th
pretend,pretender
named,nombrado
danger,peligro
wall,muro
Liz,Liz
Ian,ian
Henry,Enrique
jump,saltar
eating,comiendo
proof,prueba
complete,completo
slept,durmió
career,carrera
arrest,detención
star,estrella
Phyllis,filis
mac,impermeable
breathe,respirar
perfectly,perfectamente
warm,cálido
pulled,tirado
Maria,María
twice,dos veces
easier,más fácil
killer,asesino
goin,yendo
dating,tener una cita
suit,traje
romantic,romántico
drugs,drogas
comfortable,cómodo
Isaac,isaac
powers,potestades
finds,encuentra
checked,comprobado
fit,adaptar
divorce,divorcio
begin,comenzar
ourselves,nosotros mismos
closer,íntimamente
ruin,ruina
although,a pesar de
smile,sonrisa
laugh,reír
fish,pez
Abigail,abigail
treat,tratar
God's,Gallinero
fear,miedo
Anna,ana
what'd,¿Qué hizo?
Simone,simón
amber,ámbar
guy's,tipo
otherwise,de lo contrario
excited,entusiasmado
mail,correo
hiding,ocultación
cost,costo
green,verde
stole,robó
pacey,ritmo
noticed,observó
liza,liza
fired,despedido
Daphne,Dafne
Whitney,Whitney
excellent,excelente
lived,vivido
bringing,trayendo
pop,estallido
piper,flautista
bottom,abajo
note,nota
sudden,repentino
church,iglesia
bathroom,baño
flight,vuelo
Chad,Chad
la,la
honestly,honestamente
sing,cantar
Katie,katie
foot,pie
games,juegos
glass,vaso
n,norte
Mitch,mitch
remind,recordar
bank,banco
Rory,rory
charges,cargos
witness,testigo
finding,descubrimiento
places,lugares
tree,árbol
dare,atrevimiento
hardly,difícilmente
that'll,eso será
u,tu
interest,interés
steal,robar
princess,princesa
silly,tonto
contact,contacto
teach,enseñar
shop,comercio
plus,más
colonel,coronel
fresh,fresco
trial,ensayo
invited,invitado
roll,rollo
radio,radio
art,arte
reach,alcanzar
heh,je
dirty,sucio
choose,elegir
emergency,emergencia
dropped,abandonó
butt,culata
credit,crédito
obvious,obvio
cry,llorar
locked,bloqueado
Larry,larry
loving,cariñoso
positive,positivo
nuts,cojones
agreed,acordado
Prue,prue
price,precio
goodbye,adiós
condition,condición
guard,guardia
fucking,maldito
grow,crecer
cake,pastel
mood,ánimo
dad's,de papá
Bianca,blanca
total,total
crap,tonterías
crying,llanto
Paige,Paige
k,k
belong,pertenecer
lay,poner
partner,pareja
trick,truco
pressure,presión
ohh,oh
arm,brazo
dressed,vestido
cup,taza
lies,mentiras
bus,autobús
taste,gusto
neck,cuello
south,sur
something's,algo es
nurse,enfermero
raise,aumentar
land,tierra
cross,cruz
lots,lotes
mister,señor
carry,llevar
group,grupo
whoever,quien
Eddie,eddy
drinking,bebida
they'd,ellos
breaking,rotura
file,archivo
lock,cerrar
computer,computadora
yo,yo
Rebecca,rebeca
wine,vino
closed,cerrado
writing,escribiendo
spot,lugar
paying,pago
study,estudiar
assume,asumir
asleep,dormido
man's,del hombre
turning,torneado
legal,legal
justice,justicia
Viki,viki
Chandler,Velero
bedroom,dormitorio
shower,ducha
Nikolas,Nicolás
camera,cámara
fill,llenar
reasons,razones
forty,cuarenta
bigger,más grande
nope,no
keys,llaves
Starr,estrella
breath,aliento
doctors,doctores
pants,pantalones
freak,fenómeno
level,nivel
French,Francés
movies,cine
gee,Caramba
Monica,Mónica
action,acción
area,área
folks,amigos
Steve,esteban
cream,crema
ugh,puaj
continue,continuar
focus,enfocar
wild,salvaje
truly,realmente
Jill,Jill
desk,escritorio
convince,convencer
client,cliente
threw,lanzar
Taylor,taylor
band,banda
hurts,duele
Charles,carlos
spending,gasto
Neil,neil
field,campo
allow,permitir
grand,magnífico
answers,respuestas
shirt,camisa
chair,silla
Christ,Cristo
allowed,permitido
rough,bruto
doin,haciendo
sees,ve
government,gobierno
Harry,Acosar
ought,debería
empty,vacío
round,redondo
lights,luces
insane,loco
hall,sala
hat,sombrero
bastard,bastardo
wind,viento
shows,muestra
aware,consciente
dealing,relación comercial
pack,embalar
meaning,significado
flowers,flores
tight,ajustado
hurting,lastimando
ship,barco
subject,sujeto
guest,invitado
mom's,de mamá
chicken,pollo
pal,camarada
match,fósforo
Elaine,Elaine
arrested,detenido
sun,sol
Rachel,raquel
Salem,Salem
confused,confundido
surgery,cirugía
expecting,esperando
deacon,diácono
Colleen,Muchacha
unfortunately,desafortunadamente
goddamn,maldita sea
lab,laboratorio
passed,aprobado
bottle,botella
beyond,más allá de
whenever,cuando sea
pool,piscina
opinion,opinión
naked,desnudo
held,sostuvo
common,común
starts,comienza
jerk,idiota
secrets,misterios
falling,descendente
played,jugó
necessary,necesario
barely,apenas
dancing,baile
health,salud
tests,pruebas
copy,Copiar
Keri,keri
video,video
cousin,primo
planned,planificado
Vanessa,vanessa
dry,seco
ahem,Ejem
twelve,doce
simply,simplemente
Tess,tess
Scott,Scott
skin,piel
often,a menudo
English,Inglés
fifteen,quince
spirit,espíritu
speech,discurso
names,nombres
issue,asunto
orders,pedidos
nah,no
final,final
Michelle,michelle
America,América
st,calle
results,resultados
code,código
Ned,ned
Bonnie,bonnie
w,w
believed,creyó
complicated,complicado
umm,mmm
research,investigación
nowhere,en ningún lugar
escape,escapar
biggest,más grande
restaurant,restaurante
page,página
grateful,agradecido
usual,habitual
burn,quemar
Chicago,chicago
Austin,austin
address,DIRECCIÓN
within,dentro
someplace,en algún lugar
screw,tornillo
everywhere,en todos lados
train,tren
film,película
regret,arrepentirse
goodness,bondad
mistakes,errores
heaven,cielo
details,detalles
responsibility,responsabilidad
suspect,sospechar
corner,esquina
hero,héroe
dumb,mudo
terrific,fantástico
Peter,Pedro
mission,misión
further,más
Amy,amy
gas,gas
whoo,vaya
hole,agujero
memories,recuerdos
o'clock,en punto
Brian,Brian
truck,camión
following,siguiente
ended,terminó
nobody's,de nadie
margo,margo
teeth,dientes
ruined,arruinado
Hank,Madeja
split,dividir
reva,reva
bear,oso
airport,aeropuerto
bite,morder
smoke,fumar
Stenbeck,Stenbeck
older,más viejo
liar,mentiroso
horse,caballo
gwen,gwen
showing,demostración
van,furgoneta
project,proyecto
cards,tarjetas
desperate,desesperado
themselves,ellos mismos
search,buscar
pathetic,patético
damage,daño
spoke,habló
quickly,rápidamente
scare,susto
marah,mará
g,gramo
beach,playa
mia,desaparecido en combate
brown,marrón
afford,poder pagar
vote,votar
settle,asentarse
gold,oro
re,re
mentioned,mencionado
ed,ed
due,pendiente
passion,pasión
y,y
stayed,permaneció
rule,regla
Friday,Viernes
checking,de cheques
tie,atar
hired,contratado
upon,al
rush,correr
tad,un poco
heads,cabezas
concern,inquietud
blew,sopló
natural,natural
alcazar,alcázar
Kramer,Kramer
champagne,champán
connection,conexión
tickets,entradas
Kate,kate
finger,dedo
happiness,felicidad
form,forma
saving,ahorro
kissing,besar
Martin,Martín
hated,odiado
personally,personalmente
suggest,sugerir
prepared,preparado
build,construir
leg,pierna
onto,sobre
leaves,hojas
downstairs,abajo
ticket,boleto
it'd,sería
taught,enseñó
loose,perder
holy,santo
staff,personal
sea,mar
asa,asá
planet,planeta
duty,deber
convinced,convencido
throwing,lanzamiento
defense,defensa
Harvey,harvey
kissed,besado
legs,piernas
Dave,dave
according,de acuerdo a
loud,alto
practice,práctica
Andy,andy
Jess,Cadena
Saturday,Sábado
colin,colín
bright,brillante
Amanda,amanda
Fraser,fraser
f,F
babies,criaturas
army,ejército
where'd,donde esta
warning,advertencia
miracle,milagro
carrying,que lleva
flying,vuelo
Caleb,caleb
blind,ciego
queen,reina
ugly,feo
shopping,compras
hates,odia
someone's,de alguien
Seth,set
monster,monstruo
sight,vista
vampire,vampiro
Rosanna,rosana
bride,novia
coat,abrigo
account,cuenta
states,estados
clearly,claramente
celebrate,celebrar
Nicole,nicole
brilliant,brillante
wanting,falto
Allison,alison
add,agregar
moon,luna
Forrester,forrester
lips,labios
custody,custodia
center,centro
screwed,roscado
buying,comprar
size,tamaño
toast,tostada
thoughts,pensamientos
Isabella,Isabela
student,alumno
stories,historias
however,sin embargo
professional,profesional
stars,estrellas
reality,realidad
Jimmy,Palanqueta
birth,nacimiento
Lexie,lexi
attitude,actitud
advantage,ventaja
grandfather,abuelo
Sami,Sami
sold,vendido
opened,abierto
Lily,Lirio
grandma,abuela
beg,mendigar
Edward,Eduardo
changes,cambios
diego,Diego
cole,col
someday,algún día
grade,calificación
cheese,queso
roof,techo
Kenny,kenny
Bobby,Poli
pizza,pizza
brothers,hermanos
x,incógnita
signed,firmado
bird,pájaro
ahh,ah
marrying,casarse
powerful,poderoso
grown,crecido
grandmother,abuela
fake,falso
opening,apertura
Sally,Salida
Stephanie,Estefanía
expected,esperado
eventually,eventualmente
must've,debe haber
ideas,ideas
exciting,emocionante
covered,cubierto
Parker,parker
de,Delaware
familiar,familiar
bomb,bomba
bout,combate
television,televisión
harmony,armonía
color,color
heavy,pesado
schedule,cronograma
records,archivos
h,h
dollar,dólar
capable,capaz
master,maestro
numbers,números
Toby,toby
practically,prácticamente
including,incluido
correct,correcto
clue,clave
forgotten,olvidado
immediately,inmediatamente
appointment,cita
social,social
nature,naturaleza
ú,ú
deserves,merece
west,Oeste
Blake,blake
teacher,maestro
threat,amenaza
Frankie,Franky
bloody,sangriento
lonely,solitario
Kelly,kelly
ordered,ordenado
shame,lástima
Brittany,Bretaña
local,local
jacket,chaqueta
hook,gancho
destroyed,destruido
scary,aterrador
loser,perdedor
investigation,investigación
above,arriba
Jamal,Jamal
invite,invitar
shooting,tiroteo
merry,alegre
port,puerto
precious,precioso
lesson,lección
Roy,roy
criminal,criminal
growing,creciente
caused,causado
victim,víctima
professor,profesor
followed,seguido
funeral,funeral
nothing's,nada
dean,decano
considering,en vista de
burning,incendio
couch,sofá
strength,fortaleza
harder,más difícil
loss,pérdida
view,vista
Gia,gia
beauty,belleza
sisters,hermanas
everybody's,de todos
several,varios
pushed,empujado
Nicholas,nicolás
written,escrito
somebody's,alguien
shock,choque
pushing,emprendedor
heat,calor
chocolate,chocolate
greatest,mayor
holden,Holden
miserable,miserable
Corinthos,Corinto
nightmare,pesadilla
energy,energía
brings,trae
Zander,lucioperca
character,personaje
